#{"t_start": 1771783061.2008343, "env_id": "None"}
r,l,t
-23.666835,100,6.917138
-23.327064,100,7.109371
-15.874603,100,7.291825
-20.159377,100,7.573134
-12.450644,100,7.787006
-20.813399,100,8.0009
-19.090113,100,8.196557
-18.016655,100,8.348803
-17.258445,100,8.586423
-23.715565,100,8.820959
-25.216927,100,9.016222
-23.412304,100,9.197666
-20.177753,100,9.389537
-22.837032,100,9.636087
-17.812289,100,9.975069
-15.192289,100,10.291479
-20.596801,100,10.462618
-17.644593,100,10.5524
-17.147473,100,10.650363
-20.196494,100,10.75963
-18.540145,100,15.366199
-21.401962,100,15.542418
-17.999129,100,15.764217
-19.147112,100,16.0288
-26.725534,100,16.291171
-16.750747,100,16.666582
-23.152911,100,16.960911
-19.821754,100,17.090479
-19.186938,100,17.196619
-20.351218,100,17.284739
-21.665421,100,17.369165
-18.966737,100,17.48755
-26.546523,100,17.586364
-21.908624,100,17.696361
-17.878685,100,17.846307
-20.736242,100,17.9642
-18.994801,100,18.208159
-17.383358,100,18.402143
-19.575482,100,18.578774
-14.466708,100,18.716368
-24.001779,100,23.434402
-19.772934,100,23.550133
-18.713301,100,23.646322
-22.764531,100,23.749888
-23.567001,100,23.866263
-20.682728,100,23.946285
-25.053237,100,24.063783
-19.929328,100,24.205485
-18.749137,100,24.496872
-18.096068,100,24.808352
-22.569574,100,25.035329
-22.800046,100,25.210209
-18.975918,100,25.379188
-21.119269,100,25.590641
-21.275387,100,25.773512
-24.61249,100,25.977295
-20.257586,100,26.149145
-14.367006,100,26.367409
-19.226383,100,26.55041
-19.171558,100,26.690642
-20.317379,100,26.834115
-24.844882,100,31.224488
-15.595059,100,31.387631
-19.40908,100,31.531731
-25.988956,100,31.664749
-22.326133,100,31.882612
-22.611573,100,32.072804
-18.785089,100,32.229172
-24.574556,100,32.373368
-18.09481,100,32.522393
-18.960896,100,32.747502
-20.886255,100,32.943994
-24.294048,100,33.126039
-17.558509,100,33.297806
-22.096167,100,33.450401
-21.570638,100,33.616766
-18.774464,100,33.784234
-12.589784,100,34.036505
-17.511571,100,34.170186
-21.494394,100,34.334077
-18.924151,100,34.490565
-16.494474,100,38.834474
-17.834175,100,38.996252
-20.234845,100,39.107889
-18.82598,100,39.256756
-1005.329617,6,39.273392
-19.949188,100,39.431952
-22.156587,100,39.607997
-21.852557,100,39.743496
-1005.565952,6,39.748632
-24.784102,100,39.917514
-1004.811157,6,39.92454
-21.796792,100,40.12545
-23.192073,100,40.340483
-26.912196,100,40.550055
-11.138558,100,40.69538
-1006.395251,6,40.704126
-23.346568,100,40.891221
-19.372035,100,41.120575
-29.690781,100,41.344143
-24.954998,100,41.600409
-25.120721,100,41.963102
-23.348259,100,42.074934
-20.780957,100,42.153873
-21.28441,100,42.244172
-29.296674,100,42.306893
-18.889073,100,46.718212
-21.393374,100,46.916424
-24.169312,100,47.093521
-16.997552,100,47.334341
-19.172654,100,47.573406
-21.717451,100,48.057029
-19.312651,100,48.370087
-13.846405,100,48.504099
-20.233553,100,48.638079
-25.054803,100,48.790473
-23.706241,100,48.943999
-20.371199,100,49.047428
-18.155075,100,49.123652
-24.946405,100,49.223365
-19.391205,100,49.300398
-19.921236,100,49.518763
-17.036526,100,49.793501
-19.166706,100,50.039669
-12.938094,100,50.206056
-24.111453,100,50.314698
-25.650319,100,54.72683
-26.065538,100,54.853549
-17.458077,100,54.950113
-19.744428,100,55.085011
-20.404229,100,55.294491
-18.191869,100,55.395425
-24.975107,100,55.538412
-21.023944,100,55.642096
-20.67803,100,55.897702
-15.668317,100,56.101994
-16.869096,100,56.280575
-23.585753,100,56.400319
-25.406552,100,56.600963
-19.733593,100,56.770366
-18.007366,100,56.980371
-23.806208,100,57.198071
-17.354877,100,57.330566
-16.992951,100,57.460539
-25.860043,100,57.597911
-17.939001,100,57.713736
-20.807479,100,57.873921
-27.57262,100,62.107858
-16.160344,100,62.240553
-18.612393,100,62.366425
-22.228417,100,62.536721
-14.735803,100,62.739751
-18.202778,100,62.89162
-24.170951,100,63.063952
-22.400913,100,63.240614
-20.951018,100,63.37228
-22.750865,100,63.500439
-19.423381,100,63.620245
-22.220857,100,63.781673
-19.057738,100,63.935118
-20.393133,100,64.117016
-20.518299,100,64.256672
-18.92883,100,64.43444
-20.09735,100,64.590756
-19.452931,100,64.763392
-1005.865003,6,64.778742
-17.555548,100,65.017686
-18.254553,100,65.267998
-23.180393,100,69.985967
-28.148216,100,70.221146
-20.837769,100,70.380742
-20.511565,100,70.597855
-13.597983,100,70.769668
-1006.885735,6,70.785467
-15.834676,100,70.933446
-16.566841,100,71.143456
-19.845004,100,71.326675
-20.532767,100,71.538387
-17.270443,100,71.718897
-14.814138,100,71.906763
-17.655627,100,72.089403
-25.771721,100,72.328415
-25.348983,100,72.614407
-21.13346,100,72.906102
-19.600575,100,73.166156
-18.200066,100,73.288315
-17.591361,100,73.371777
-21.877223,100,73.486112
-20.868736,100,73.573744
-21.270783,100,77.539918
-19.469673,100,77.747396
-15.550982,100,77.935105
-18.768671,100,78.100235
-20.418623,100,78.327716
-17.433305,100,78.543299
-23.99601,100,78.883961
-23.795422,100,79.310791
-15.030009,100,79.548147
-21.845283,100,79.704113
-18.862484,100,79.857647
-22.364764,100,80.00074
-26.271608,100,80.092562
-13.326796,100,80.216323
-13.114551,100,80.40238
-20.190995,100,80.49335
-24.796594,100,80.725907
-19.050977,100,81.013692
-15.550102,100,81.250415
-12.664071,100,81.420342
-15.602514,100,81.673988
-15.663236,100,86.033645
-23.416968,100,86.120587
-19.427715,100,86.233358
-14.179488,100,86.429184
-18.73464,100,86.516041
-17.833635,100,86.654571
-23.474851,100,86.798113
-18.096992,100,87.053379
-17.221204,100,87.23832
-15.235054,100,87.401881
-1006.250142,6,87.410441
-1006.745718,6,87.420344
-24.419093,100,87.54061
-17.316428,100,87.73061
-19.488978,100,87.949062
-20.393569,100,88.101268
-22.703426,100,88.304039
-1005.279022,6,88.308301
-24.925905,100,88.458566
-22.762217,100,88.628548
-19.718713,100,88.814735
-19.288983,100,89.046049
-23.292688,100,89.278572
-1007.246846,6,89.30054
-17.601745,100,93.951673
-20.421775,100,94.209718
-17.534967,100,94.419698
-20.77528,100,94.635778
-19.702141,100,94.827578
-19.275898,100,94.985048
-24.722153,100,95.137445
-21.191143,100,95.320508
-19.881497,100,95.516061
-22.280444,100,95.690444
-19.784038,100,95.853271
-19.74029,100,96.030953
-20.377176,100,96.254968
-24.006029,100,96.435539
-21.449379,100,96.578664
-21.792321,100,96.740887
-22.564968,100,96.922631
-16.63155,100,97.107799
-20.456505,100,97.352297
-20.430433,100,97.63666
-22.92504,100,97.980719
-1004.807116,6,98.010603
-19.99027,100,101.945161
-17.459932,100,102.120197
-24.797938,100,102.283864
-17.051205,100,102.497979
-17.646503,100,102.656827
-16.439181,100,102.788584
-19.42487,100,102.97212
-20.752745,100,103.182466
-18.305803,100,103.407642
-21.017503,100,103.673386
-18.043783,100,103.974887
-19.563513,100,104.135189
-1004.962101,6,104.143265
-26.398371,100,104.254263
-23.149035,100,104.369227
-21.497431,100,104.454834
-15.344674,100,104.575708
-23.790358,100,104.715915
-21.112059,100,104.975824
-18.211444,100,105.080269
-18.106946,100,105.200635
