object_1,object_2,miss_distance_km,relative_velocity_km_s,time_to_closest_approach,angle_between_velocities_deg,altitude_difference_km,mean_altitude_km,risk_label
45000,45001,60.176,0.0661,2026-02-22T17:35:40.458383,0.5,0.0201,540.67,LOW
33000,33001,61.9085,0.0652,2026-02-22T17:17:40.458383,0.5,0.027,736.24,LOW
25544,45000,212.1377,5.6692,2026-02-23T03:45:40.458383,43.54,145.3872,454.87,LOW
20580,45000,223.6129,6.7903,2026-02-23T08:49:40.458383,53.09,32.7571,543.97,LOW
20580,45001,229.6866,6.7923,2026-02-23T08:49:40.458383,53.11,32.7086,544.0,LOW
25544,45001,257.6292,5.6707,2026-02-23T03:45:40.458383,43.55,145.3324,454.84,LOW
20580,25544,335.4628,9.1637,2026-02-23T07:03:40.458383,73.75,171.5288,474.61,LOW
20580,33000,398.3611,9.6294,2026-02-23T12:55:40.458383,79.46,170.3594,652.58,LOW
33001,45001,430.3028,13.5128,2026-02-23T15:17:40.458383,126.97,198.7351,630.23,LOW
33591,45000,432.6027,13.809,2026-02-23T10:51:40.458383,133.64,300.6483,688.55,LOW
33000,45001,436.9022,13.511,2026-02-23T15:17:40.458383,126.94,198.7834,630.25,LOW
20580,33001,443.6412,9.6313,2026-02-23T12:55:40.458383,79.48,170.3634,652.58,LOW
33591,45001,473.3869,13.8072,2026-02-23T10:51:40.458383,133.61,300.6114,688.56,LOW
33001,45000,476.8501,13.5127,2026-02-23T15:17:40.458383,126.97,198.7954,630.19,LOW
33000,45000,487.4445,13.5105,2026-02-23T15:17:40.458383,126.94,198.8437,630.22,LOW
25544,33000,528.3027,12.1956,2026-02-23T14:15:40.458383,106.93,349.5118,556.28,LOW
25544,33001,533.9851,12.1978,2026-02-23T14:15:40.458383,106.96,349.5889,556.32,LOW
20580,33591,651.4465,12.9904,2026-02-23T02:41:40.458383,119.62,265.0423,696.79,LOW
25544,33591,737.5841,10.7534,2026-02-23T09:07:40.458383,90.8,448.4385,615.5,LOW
33000,33591,8591.2594,10.9091,2026-02-22T17:23:40.458383,94.0,103.3224,786.75,LOW
33001,33591,8633.1305,10.946,2026-02-22T17:23:40.458383,94.42,103.3484,786.73,LOW
