Timestamp,NORAD_ID,SGP4_X_km,SGP4_Y_km,SGP4_Z_km,True_X_km,True_Y_km,True_Z_km,Error_X_km,Error_Y_km,Error_Z_km,Solar_Flux_F10.7,Atmospheric_Drag_Factor
2025-03-06T11:22:00,25869,4611.665,1659.277,5063.897,4597.495,1651.276,5059.122,-14.171,-8.001,-4.775,78.1,0.001462
2025-02-22T10:53:00,28070,2382.452,2825.484,2569.667,2377.572,2817.314,2564.428,-4.881,-8.171,-5.239,91.6,0.004634
2025-04-05T08:08:00,43089,3863.999,-3793.327,-6550.597,3857.797,-3782.622,-6545.01,-6.202,10.705,5.587,101.7,0.004581
2025-01-05T20:10:00,32623,3429.846,545.682,3458.193,3425.654,549.537,3450.031,-4.192,3.855,-8.162,109.5,0.003803
2025-03-04T09:27:00,26423,-1089.76,-6110.612,-1657.33,-1076.089,-6104.989,-1646.457,13.672,5.623,10.873,113.0,0.001407
2025-02-05T11:48:00,38825,-647.868,6353.423,5261.941,-651.078,6356.888,5267.858,-3.21,3.465,5.917,93.9,0.003231
2025-01-03T23:31:00,38825,551.306,3900.771,424.951,548.044,3907.652,428.7,-3.262,6.881,3.749,74.6,0.004402
2025-02-23T09:25:00,32314,6691.783,457.886,-5239.353,6687.823,461.167,-5238.632,-3.96,3.281,0.721,147.1,0.004652
2025-01-28T10:04:00,33667,2098.293,-866.599,246.062,2098.287,-862.728,239.637,-0.006,3.871,-6.425,120.5,0.001222
2025-01-22T13:22:00,30094,-3667.935,2365.689,-4000.685,-3670.319,2371.23,-3998.695,-2.384,5.541,1.99,134.6,0.001033
2025-02-09T14:15:00,25212,-1244.568,5093.714,-6241.603,-1255.707,5091.444,-6245.786,-11.139,-2.27,-4.183,112.9,0.000787
2025-04-16T06:55:00,32314,-796.17,5058.887,704.554,-805.645,5075.899,711.333,-9.475,17.012,6.779,137.9,0.000915
2025-02-10T06:03:00,44309,5634.2,-4695.08,-6969.825,5629.94,-4691.257,-6967.957,-4.26,3.823,1.867,122.9,0.002485
2025-01-20T02:43:00,37449,3300.321,-6146.594,-2609.533,3285.477,-6157.198,-2614.992,-14.843,-10.604,-5.459,110.6,0.004272
2025-03-13T04:42:00,32623,-1347.142,6182.346,975.456,-1355.083,6184.186,967.628,-7.941,1.84,-7.827,123.6,0.00164
2025-03-03T07:23:00,44782,-2800.041,-2573.519,3526.103,-2808.618,-2582.957,3523.936,-8.577,-9.437,-2.167,87.1,0.001399
2025-01-04T23:35:00,25869,-4791.544,4672.429,2849.559,-4800.359,4655.023,2853.899,-8.814,-17.407,4.34,145.1,0.000758
2025-04-27T08:02:00,44349,-3187.125,1467.618,3046.571,-3195.716,1464.831,3050.132,-8.591,-2.786,3.561,137.7,0.000552
2025-03-19T17:09:00,28648,-2330.208,-5168.525,6717.171,-2324.07,-5162.963,6729.417,6.138,5.562,12.246,81.9,0.000277
2025-04-20T23:09:00,25212,-5215.763,-2684.383,5585.741,-5203.239,-2682.162,5573.515,12.524,2.221,-12.226,78.2,0.003923
2025-01-13T01:54:00,32623,5104.48,6666.884,4350.804,5109.088,6663.44,4364.794,4.608,-3.445,13.99,134.9,0.001407
2025-03-12T20:32:00,36149,-3885.928,4432.212,-555.755,-3892.836,4425.601,-564.113,-6.908,-6.611,-8.358,96.3,0.004335
2025-04-20T16:07:00,44309,2513.254,4811.256,-2363.902,2519.516,4814.312,-2360.968,6.263,3.056,2.934,97.7,0.003953
2025-04-03T21:58:00,39719,5593.066,-4338.897,-6378.589,5591.899,-4344.899,-6372.676,-1.167,-6.002,5.913,129.0,0.001065
2025-02-20T18:19:00,42856,1724.176,2287.425,-5255.246,1731.659,2281.149,-5262.246,7.483,-6.276,-7.001,123.2,0.001958
2025-02-22T02:18:00,44309,671.121,-6994.317,-2983.208,663.988,-7001.267,-2987.646,-7.133,-6.95,-4.438,87.1,0.002419
2025-04-14T20:36:00,30094,2293.954,1669.651,-5692.579,2294.414,1673.47,-5683.912,0.46,3.818,8.668,118.9,0.003866
2025-04-02T17:15:00,25976,3056.843,-1624.301,-1404.86,3052.433,-1622.569,-1408.455,-4.41,1.732,-3.595,132.3,0.001172
2025-02-24T15:28:00,42870,-609.534,4219.832,2346.088,-595.627,4225.584,2340.109,13.908,5.752,-5.979,136.4,0.002785
2025-01-05T04:14:00,41559,3524.875,4758.08,-3117.641,3524.136,4753.438,-3113.867,-0.739,-4.642,3.774,88.8,0.001746
2025-04-16T00:22:00,39719,2715.297,2889.868,-6100.796,2708.721,2888.608,-6108.959,-6.577,-1.26,-8.163,125.6,0.004298
2025-01-13T10:42:00,43390,3548.652,4948.271,6348.025,3552.572,4949.825,6337.269,3.92,1.554,-10.755,87.6,0.002236
2025-02-02T08:24:00,26423,4173.993,3138.539,4767.079,4186.832,3138.245,4754.243,12.84,-0.294,-12.836,104.3,0.004348
2025-03-08T20:04:00,31515,-4036.756,-2424.159,3657.216,-4042.715,-2428.003,3641.084,-5.959,-3.844,-16.132,71.6,0.002743
2025-03-06T19:38:00,43089,6401.998,-6436.386,-6565.58,6404.103,-6431.011,-6560.847,2.105,5.375,4.734,107.2,0.001356
2025-02-03T18:44:00,37403,3057.001,3889.086,-4707.279,3054.385,3880.179,-4706.205,-2.616,-8.907,1.073,100.0,0.004713
2025-01-28T13:52:00,36270,-3600.109,2760.702,-2777.842,-3599.001,2753.47,-2769.294,1.107,-7.232,8.548,75.5,0.003273
2025-04-15T13:52:00,34105,-5522.456,6451.026,1898.191,-5515.622,6453.35,1900.483,6.833,2.324,2.292,91.6,0.00406
2025-04-07T11:51:00,29090,1294.645,-2487.736,-3563.068,1297.565,-2485.343,-3572.408,2.92,2.393,-9.341,109.5,0.001693
2025-04-21T22:31:00,41559,-2235.256,5324.48,2816.573,-2241.992,5329.986,2820.869,-6.736,5.506,4.296,109.1,0.003815
2025-03-10T08:14:00,30231,4101.06,-5697.253,-3897.65,4100.836,-5701.674,-3898.881,-0.224,-4.42,-1.23,96.5,0.003544
2025-03-04T06:18:00,42870,3097.981,-2582.329,3400.335,3104.178,-2579.708,3393.726,6.198,2.62,-6.609,117.2,0.003825
2025-03-16T15:28:00,32164,-1947.665,-2768.254,2912.259,-1953.724,-2770.49,2922.995,-6.059,-2.236,10.736,78.2,0.00016
