Event_ID,Target_ID,Debris_ID,Miss_Distance_km,Relative_Velocity_kms,Collision_Angle_deg,Covariance_Trace,Collision_Probability,Risk_Label
EVT_80000,35934,91184,2.157,10.679,85.7,272.839,0.42661,MEDIUM
EVT_80001,35658,84087,19.426,10.797,112.3,86.635,0.2798,SAFE
EVT_80002,20809,93975,4.646,10.687,145.3,262.46,0.64866,MEDIUM
EVT_80003,43648,94911,4.18,12.907,127.6,106.513,0.78861,MEDIUM
EVT_80004,44351,98465,22.122,12.102,154.8,497.992,0.16349,SAFE
EVT_80005,42453,82318,9.791,10.084,54.4,306.831,0.56974,MEDIUM
EVT_80006,35800,96340,19.793,10.643,153.0,168.857,0.08517,SAFE
EVT_80007,26335,81631,0.001,6.668,6.0,229.72,0.78414,MEDIUM
EVT_80008,32417,85254,10.279,8.46,148.7,17.632,0.15483,SAFE
EVT_80009,23631,92121,10.785,6.627,175.2,375.814,0.04602,SAFE
EVT_80010,20352,86859,12.121,9.537,62.7,128.42,0.25089,SAFE
EVT_80011,33187,81108,26.147,13.831,50.4,115.668,0.23493,SAFE
EVT_80012,28869,98050,31.523,14.817,20.9,462.039,0.00816,SAFE
EVT_80013,25302,97865,2.382,11.6,64.0,15.637,0.12723,SAFE
EVT_80014,22402,92780,0.628,11.686,13.0,380.13,0.80767,HIGH
EVT_80015,47869,92284,5.002,8.336,129.6,205.776,0.64712,MEDIUM
EVT_80016,27694,98561,36.61,12.173,54.4,151.91,0.15009,SAFE
EVT_80017,45083,98279,4.232,10.814,39.0,426.751,0.51694,MEDIUM
EVT_80018,33170,89509,12.517,13.554,130.6,176.074,0.04645,SAFE
EVT_80019,43227,80439,37.097,13.663,134.6,84.626,0.07832,SAFE
EVT_80020,48202,91421,8.01,14.642,83.7,484.646,0.60122,MEDIUM
EVT_80021,26370,82346,24.093,9.4,168.8,195.867,0.24073,SAFE
EVT_80022,37564,91505,14.641,5.735,169.6,343.558,0.13172,SAFE
EVT_80023,30940,98621,9.294,6.205,170.5,50.501,0.04085,SAFE
EVT_80024,38472,94666,7.37,14.789,4.1,123.289,0.63128,MEDIUM
EVT_80025,41086,82823,33.365,9.805,12.8,59.707,0.14193,SAFE
EVT_80026,23712,95431,6.37,6.612,118.4,211.997,0.37317,MEDIUM
EVT_80027,20937,82571,16.952,7.765,163.6,55.243,0.03934,SAFE
EVT_80028,47251,82152,48.281,13.537,32.0,428.927,0.21666,SAFE
EVT_80029,24974,89487,2.909,13.376,96.0,46.237,0.04187,SAFE
EVT_80030,22065,97541,2.697,10.954,107.2,168.538,0.74559,MEDIUM
EVT_80031,38431,80963,23.247,10.409,88.2,359.857,0.1718,SAFE
EVT_80032,30753,82116,25.874,5.437,101.7,13.214,0.24842,SAFE
EVT_80033,29278,84438,72.421,12.834,43.0,205.597,0.2254,SAFE
EVT_80034,22283,83403,27.047,10.261,82.0,436.237,0.25715,SAFE
EVT_80035,28493,91020,35.477,6.621,153.5,425.357,0.19458,SAFE
EVT_80036,42307,89479,5.578,12.595,116.8,116.194,0.67969,MEDIUM
EVT_80037,38248,93922,11.999,8.515,57.0,117.873,0.13395,SAFE
EVT_80038,21809,81380,6.434,13.612,24.2,197.125,0.75582,MEDIUM
EVT_80039,35719,97883,24.954,10.486,143.9,392.977,0.1203,SAFE
EVT_80040,35636,80232,2.207,11.329,28.0,348.252,0.30427,MEDIUM
EVT_80041,38034,98470,27.172,7.864,102.8,388.312,0.16336,SAFE
EVT_80042,23611,89014,4.529,7.682,157.5,208.223,0.53508,MEDIUM
EVT_80043,36033,97665,13.679,6.015,47.6,195.163,0.0265,SAFE
EVT_80044,42743,81531,5.272,11.794,11.7,23.679,0.10251,SAFE
EVT_80045,41282,91571,23.415,12.162,60.4,449.699,0.1071,SAFE
EVT_80046,21249,94755,24.649,7.0,114.2,298.256,0.07497,SAFE
EVT_80047,42831,99629,18.605,14.425,22.8,280.487,0.13036,SAFE
EVT_80048,36211,88966,7.85,9.151,137.1,126.8,0.5908,MEDIUM
EVT_80049,44674,98876,17.666,12.92,124.2,41.214,0.27831,SAFE
EVT_80050,41936,98966,0.361,12.903,18.2,248.509,0.41223,MEDIUM
EVT_80051,37417,94482,14.892,5.015,93.2,496.346,0.06063,SAFE
EVT_80052,27894,83778,10.722,13.19,49.1,127.739,0.26972,SAFE
EVT_80053,47899,98647,35.785,12.264,52.1,288.357,0.05077,SAFE
EVT_80054,37070,91636,12.336,13.381,118.3,23.374,0.02499,SAFE
EVT_80055,26962,84343,9.116,10.384,54.8,150.28,0.42229,MEDIUM
EVT_80056,45509,85769,3.05,14.321,161.5,337.437,0.37479,MEDIUM
EVT_80057,29596,81611,3.555,14.057,130.7,128.681,0.65383,MEDIUM
EVT_80058,36343,96086,30.838,12.113,52.0,467.87,0.23844,SAFE
EVT_80059,39178,94293,23.458,11.841,167.6,286.699,0.27963,SAFE
EVT_80060,46014,89235,11.713,11.139,59.1,12.053,0.08411,SAFE
EVT_80061,44501,97137,4.734,10.873,156.7,201.841,0.69656,MEDIUM
EVT_80062,24049,88165,4.064,13.495,1.3,366.324,0.74755,MEDIUM
EVT_80063,31513,95793,12.654,5.41,36.0,283.852,0.2742,SAFE
EVT_80064,29979,87575,9.921,13.904,28.7,433.229,0.34376,MEDIUM
EVT_80065,33030,83753,36.258,10.232,58.0,198.089,0.18105,SAFE
EVT_80066,36091,88305,9.14,13.998,60.3,119.882,0.38847,MEDIUM
EVT_80067,26555,80020,43.122,13.6,93.8,394.111,0.10746,SAFE
EVT_80068,40746,80726,48.509,9.498,155.5,355.464,0.18751,SAFE
EVT_80069,30643,84102,46.235,13.092,3.6,340.786,0.01285,SAFE
EVT_80070,29968,87636,11.931,11.057,145.6,286.423,0.14717,SAFE
EVT_80071,41472,80367,15.877,6.891,70.9,190.915,0.23257,SAFE
EVT_80072,31525,83376,17.281,13.726,16.6,140.799,0.20837,SAFE
EVT_80073,38464,91360,0.964,13.105,166.2,223.523,0.42361,MEDIUM
EVT_80074,32098,88893,2.773,10.928,100.7,490.017,0.53355,MEDIUM
EVT_80075,33148,80853,24.086,14.69,26.1,213.443,0.09695,SAFE
EVT_80076,45503,90857,5.812,11.528,173.9,113.487,0.33456,MEDIUM
EVT_80077,47535,85077,8.281,12.426,111.9,26.292,0.11692,SAFE
EVT_80078,22821,91250,0.3,12.997,14.5,358.212,0.88569,HIGH
EVT_80079,42707,80403,29.769,9.414,28.7,228.966,0.02388,SAFE
EVT_80080,23845,99042,3.505,10.48,44.7,31.381,0.05084,SAFE
EVT_80081,31214,81804,22.278,6.842,168.8,256.065,0.04686,SAFE
EVT_80082,49338,81068,5.207,11.243,115.7,433.215,0.62647,MEDIUM
EVT_80083,41008,81581,23.225,6.485,127.2,128.752,0.15834,SAFE
EVT_80084,30003,92740,30.648,13.001,17.7,304.091,0.25142,SAFE
EVT_80085,46384,95230,16.152,8.077,126.3,244.891,0.27753,SAFE
EVT_80086,43685,81146,1.172,7.251,31.2,61.386,0.12018,SAFE
EVT_80087,37409,95898,5.346,13.0,8.9,22.692,0.01053,SAFE
EVT_80088,25319,84910,7.002,12.396,4.3,24.766,0.24675,SAFE
EVT_80089,46941,85440,2.111,7.365,147.7,491.007,0.50602,MEDIUM
EVT_80090,31529,83027,1.911,14.837,33.8,472.424,0.87594,HIGH
EVT_80091,25091,87849,16.973,14.825,112.2,59.864,0.1229,SAFE
EVT_80092,41827,88573,13.069,8.989,92.2,313.041,0.088,SAFE
EVT_80093,25083,97974,27.855,5.868,82.0,92.005,0.24189,SAFE
EVT_80094,35551,86085,0.801,14.142,112.3,13.138,0.00158,SAFE
EVT_80095,36395,96421,12.392,12.925,81.5,303.489,0.26216,SAFE
EVT_80096,36014,94237,6.975,5.28,112.2,495.06,0.58939,MEDIUM
EVT_80097,33219,80908,12.428,12.315,104.6,147.293,0.11539,SAFE
EVT_80098,40657,98658,10.51,5.469,6.4,77.215,0.03222,SAFE
EVT_80099,43646,94696,0.505,11.31,34.4,455.118,0.98824,HIGH
EVT_80100,36370,94008,8.719,10.436,126.2,333.564,0.35019,MEDIUM
EVT_80101,29788,89279,3.253,13.961,153.8,446.153,0.40656,MEDIUM
EVT_80102,32399,97132,9.386,10.431,50.9,20.908,0.236,SAFE
EVT_80103,41766,88564,26.786,6.209,174.5,188.301,0.24108,SAFE
EVT_80104,35287,91946,5.851,8.368,49.9,97.61,0.10631,SAFE
EVT_80105,42901,96014,24.886,10.994,38.7,284.097,0.19771,SAFE
EVT_80106,35960,99997,9.873,14.071,171.9,244.959,0.37259,MEDIUM
EVT_80107,25789,94050,19.907,9.239,113.2,50.037,0.07628,SAFE
EVT_80108,42603,91692,30.805,10.225,32.5,348.844,0.18306,SAFE
EVT_80109,45912,92555,5.677,9.688,160.0,47.429,0.16172,SAFE
EVT_80110,23299,94984,25.544,14.666,65.5,317.765,0.19916,SAFE
EVT_80111,32426,88767,27.007,9.125,28.2,56.983,0.09185,SAFE
EVT_80112,47088,83463,1.683,10.031,45.3,293.17,0.53108,MEDIUM
EVT_80113,41584,96604,16.885,14.421,89.7,348.903,0.0483,SAFE
EVT_80114,39936,88412,5.861,14.287,71.2,272.267,0.69391,MEDIUM
EVT_80115,27110,99830,6.841,13.642,72.2,80.12,0.21457,SAFE
EVT_80116,44298,92746,4.201,7.224,33.0,282.5,0.72048,MEDIUM
EVT_80117,35761,93474,43.735,12.508,36.3,479.143,0.20969,SAFE
EVT_80118,34657,94205,25.779,12.508,160.7,437.637,0.19214,SAFE
EVT_80119,35566,93071,0.206,7.303,88.7,42.789,0.25009,SAFE
EVT_80120,30458,80823,3.0,13.66,141.7,10.434,0.09698,SAFE
EVT_80121,23772,99564,1.039,6.122,86.7,79.28,0.02133,SAFE
EVT_80122,44903,94734,12.436,12.173,158.2,126.677,0.12982,SAFE
EVT_80123,24152,86048,5.642,13.516,31.4,313.072,0.72535,MEDIUM
EVT_80124,32376,84891,10.539,5.346,57.6,343.617,0.08217,SAFE
EVT_80125,33769,84270,9.177,10.357,1.9,90.964,0.2441,SAFE
EVT_80126,31288,96787,6.356,14.329,154.2,89.281,0.03737,SAFE
EVT_80127,42947,84146,8.535,13.71,179.7,71.785,0.10795,SAFE
EVT_80128,26127,91080,5.557,5.221,171.2,427.053,0.55238,MEDIUM
EVT_80129,41816,84695,13.856,9.074,34.3,438.217,0.27223,SAFE
EVT_80130,24576,80106,9.357,6.258,165.0,453.099,0.48366,MEDIUM
EVT_80131,36546,88408,13.07,9.973,132.1,419.342,0.21537,SAFE
EVT_80132,26251,90724,17.778,10.793,123.4,33.06,0.1373,SAFE
EVT_80133,25471,92204,5.059,7.891,33.6,34.364,0.00202,SAFE
EVT_80134,38935,97337,18.177,9.928,177.2,484.952,0.05394,SAFE
EVT_80135,26852,83809,41.117,12.09,50.5,170.351,0.22579,SAFE
EVT_80136,26118,92839,15.816,5.458,166.8,117.47,0.12581,SAFE
EVT_80137,42887,80333,0.025,13.02,84.9,258.819,0.66832,MEDIUM
EVT_80138,37443,89114,14.057,12.64,70.8,82.871,0.04296,SAFE
EVT_80139,41552,86441,9.207,10.068,117.5,452.239,0.44009,MEDIUM
EVT_80140,32046,93675,14.985,7.615,145.6,84.522,0.08428,SAFE
EVT_80141,32395,95136,12.422,5.71,151.7,271.493,0.25585,SAFE
EVT_80142,38847,92211,1.118,7.664,70.7,43.291,0.1205,SAFE
EVT_80143,40649,92999,14.137,6.413,30.2,106.858,0.05186,SAFE
EVT_80144,35740,82689,0.96,5.644,124.6,240.967,0.57697,MEDIUM
EVT_80145,35309,83570,9.959,11.081,150.4,329.117,0.65871,MEDIUM
EVT_80146,44917,97440,20.721,7.344,4.7,392.075,0.0237,SAFE
EVT_80147,45570,87349,11.268,7.491,73.3,146.045,0.08684,SAFE
EVT_80148,46756,86458,8.736,9.843,90.4,482.573,0.36122,MEDIUM
EVT_80149,26843,94020,60.797,13.243,100.6,77.119,0.17519,SAFE
EVT_80150,24001,89642,19.033,8.563,107.1,243.787,0.1614,SAFE
EVT_80151,22050,94878,26.675,7.499,10.4,264.767,0.13301,SAFE
EVT_80152,31595,99901,2.825,12.255,52.7,280.709,0.30591,MEDIUM
EVT_80153,23996,95286,7.594,10.899,63.4,438.602,0.77143,MEDIUM
EVT_80154,25138,94375,1.144,8.027,118.1,419.987,0.86451,HIGH
EVT_80155,34069,96202,16.009,13.269,104.0,113.238,0.07163,SAFE
EVT_80156,25015,81311,3.405,10.629,169.6,368.552,0.56408,MEDIUM
EVT_80157,29016,93955,4.387,13.219,56.2,496.125,0.5036,MEDIUM
EVT_80158,34844,84759,10.549,7.641,83.6,195.685,0.11423,SAFE
EVT_80159,29543,81593,28.512,12.972,23.7,491.974,0.15387,SAFE
EVT_80160,25226,93888,1.189,9.955,114.0,180.059,0.72232,MEDIUM
EVT_80161,44049,94511,3.801,12.904,12.3,117.051,0.54725,MEDIUM
EVT_80162,42194,87058,26.284,9.632,132.7,495.311,0.24109,SAFE
EVT_80163,49964,89336,1.872,14.009,23.2,165.863,0.41498,MEDIUM
EVT_80164,35899,91553,25.983,9.955,144.6,301.024,0.10225,SAFE
EVT_80165,46934,82911,1.151,6.432,78.1,491.742,0.83432,HIGH
EVT_80166,48827,81587,6.411,8.838,73.7,368.283,0.71584,MEDIUM
EVT_80167,41886,82687,6.325,8.145,24.6,380.42,0.47297,MEDIUM
EVT_80168,45566,89153,4.393,7.836,9.6,222.467,0.62145,MEDIUM
EVT_80169,43032,94094,98.697,14.842,148.9,314.627,0.12337,SAFE
EVT_80170,40516,95601,10.85,13.165,102.4,206.594,0.12468,SAFE
EVT_80171,30061,93232,0.287,11.867,176.6,405.4,0.90134,HIGH
EVT_80172,30901,92565,42.021,10.406,71.9,213.38,0.28881,SAFE
EVT_80173,31145,89430,9.402,5.293,153.9,367.678,0.4905,MEDIUM
EVT_80174,42157,97028,28.88,14.787,121.7,343.769,0.07167,SAFE
EVT_80175,26909,86865,1.325,11.435,131.5,241.612,0.42831,MEDIUM
EVT_80176,33837,83871,5.842,9.979,136.1,249.016,0.47176,MEDIUM
EVT_80177,46896,87925,8.555,5.638,35.7,319.599,0.65144,MEDIUM
EVT_80178,35427,87671,9.52,7.555,175.7,205.89,0.54994,MEDIUM
EVT_80179,49004,99536,6.171,8.149,146.9,391.206,0.65044,MEDIUM
EVT_80180,26363,92247,11.577,7.026,4.4,387.121,0.11632,SAFE
EVT_80181,36326,88672,23.43,6.898,52.2,327.109,0.26089,SAFE
EVT_80182,39064,91880,16.489,8.817,165.9,451.873,0.27916,SAFE
EVT_80183,24257,97359,6.677,14.008,140.4,64.831,0.20418,SAFE
EVT_80184,21512,80944,1.828,7.101,74.9,167.417,0.51289,MEDIUM
EVT_80185,35947,98460,1.628,13.564,114.8,263.625,0.31843,MEDIUM
EVT_80186,26325,94932,16.512,6.942,35.9,178.25,0.28888,SAFE
EVT_80187,34455,95143,51.268,11.296,169.4,89.684,0.00904,SAFE
EVT_80188,21372,96143,23.561,13.104,144.7,48.871,0.11792,SAFE
EVT_80189,33767,99138,1.31,13.764,127.7,111.361,0.53671,MEDIUM
EVT_80190,36231,85956,1.435,5.642,39.4,86.137,0.10311,SAFE
EVT_80191,22669,82051,22.795,8.513,13.8,377.082,0.0459,SAFE
EVT_80192,40808,94956,27.956,9.623,43.6,295.339,0.04552,SAFE
EVT_80193,33677,98080,7.676,6.566,87.6,338.408,0.56896,MEDIUM
EVT_80194,23284,91916,29.106,5.92,65.5,40.273,0.18178,SAFE
EVT_80195,36827,90506,11.69,9.782,5.7,406.774,0.04437,SAFE
EVT_80196,42656,83884,4.759,7.544,177.2,170.426,0.75215,MEDIUM
EVT_80197,49554,90586,32.42,7.27,129.6,426.2,0.02581,SAFE
EVT_80198,34407,86174,15.58,7.9,167.0,374.229,0.08049,SAFE
EVT_80199,24285,87771,10.385,11.575,105.4,351.999,0.1828,SAFE
EVT_80200,35575,82388,0.757,12.639,157.9,375.457,0.85927,HIGH
EVT_80201,47373,90743,14.393,10.297,179.4,242.199,0.28701,SAFE
EVT_80202,33718,93780,8.67,12.014,39.0,409.869,0.32872,MEDIUM
EVT_80203,48247,94100,14.234,11.952,114.1,173.669,0.09924,SAFE
EVT_80204,21218,85358,5.68,8.99,159.8,15.115,0.19731,SAFE
EVT_80205,28556,83875,42.247,7.247,132.4,68.371,0.27232,SAFE
EVT_80206,29052,80928,9.431,11.938,158.5,328.383,0.51143,MEDIUM
EVT_80207,22929,98144,5.958,9.0,41.2,368.358,0.77422,MEDIUM
EVT_80208,43206,93888,15.917,6.004,9.9,155.414,0.09125,SAFE
EVT_80209,33435,84729,13.491,10.493,67.9,488.33,0.15637,SAFE
EVT_80210,39590,94473,5.576,13.46,26.3,36.36,0.06945,SAFE
EVT_80211,43135,91478,19.254,6.28,39.7,112.393,0.05285,SAFE
EVT_80212,41258,88792,7.254,13.487,123.4,256.185,0.31403,MEDIUM
EVT_80213,35105,97173,9.532,5.618,156.8,48.938,0.06916,SAFE
EVT_80214,43132,80328,7.077,14.403,17.6,62.223,0.13386,SAFE
EVT_80215,27331,82670,25.642,10.939,77.7,223.541,0.10325,SAFE
EVT_80216,22745,86174,23.083,6.817,175.3,382.205,0.15109,SAFE
EVT_80217,29093,80400,31.532,12.497,101.1,29.449,0.06656,SAFE
EVT_80218,24264,81416,0.632,11.852,135.5,240.519,0.55745,MEDIUM
EVT_80219,23641,91180,21.042,8.178,12.1,169.074,0.13595,SAFE
EVT_80220,34472,80486,1.774,14.81,136.0,382.433,0.91453,HIGH
EVT_80221,43067,98892,16.19,7.194,80.0,370.165,0.01878,SAFE
EVT_80222,39939,80898,1.12,6.837,37.3,371.68,0.96957,HIGH
