#{"t_start": 1776532263.2396948, "env_id": "None"}
r,l,t
-118.459549,7,0.02574
-93.996154,80,0.050143
-109.386675,4,0.051414
-106.434938,3,0.051414
-8.256865,40,0.062106
-59.639382,80,0.090341
-33.405816,60,0.110755
-110.336947,4,0.111979
-27.255189,53,0.126191
-84.993352,80,0.151635
-15.763648,41,0.162254
-112.027327,5,0.165896
-10.698087,40,0.176183
-21.927014,48,0.191375
-104.606549,80,0.218807
-25.20997,47,0.234969
-35.910677,55,0.251724
-6.299007,35,0.260529
-23.634663,46,0.275174
-40.627736,70,0.296209
-95.298585,80,0.326094
-7.197484,38,0.345904
-11.736104,46,0.968929
-6.753752,32,0.981795
-35.962373,53,0.999889
0.326077,31,1.007258
-73.630041,80,1.032064
-40.766526,57,1.05328
-114.426695,6,1.055197
-129.96166,11,1.058434
-27.768176,51,1.076319
-109.320031,4,1.076319
-9.244736,39,1.085241
-55.057786,74,1.108325
-121.210807,8,1.110538
-33.311818,57,1.12591
-18.12017,48,1.144981
-115.125282,6,1.147265
-71.919014,80,1.169389
-113.027622,5,1.171502
-4.959888,32,1.181981
-56.99807,61,1.195995
-22.371139,44,1.212604
-109.194824,4,1.212604
-11.447442,44,1.226775
-111.724915,5,1.23009
-54.464886,62,1.251145
-26.691577,61,1.267953
-35.97333,52,1.846205
-18.353039,43,1.860484
-109.510659,4,1.862319
-15.184275,38,1.875726
1.006479,30,1.888285
-124.465764,9,1.891593
-112.732025,5,1.893468
-111.691229,5,1.894022
-4.953504,33,1.905884
-130.852607,12,1.910929
-53.529362,65,1.93447
-62.532784,66,1.951689
-1.640902,30,1.960829
-74.245389,80,1.989986
-112.348111,5,1.992693
-2.210386,30,2.00154
-16.048198,40,2.011873
-12.171094,41,2.032913
-40.645811,65,2.055162
-29.619046,61,2.075155
-65.163258,80,2.100528
-5.619309,35,2.112138
-39.165474,60,2.131372
-106.430825,3,2.13205
-6.263475,32,2.141538
-136.64294,14,2.14952
-3.10991,33,2.158786
-13.545011,39,2.171669
-22.709476,47,2.185284
-111.646579,5,2.185284
-41.666309,53,2.741223
-10.742029,36,2.755135
-30.449027,49,2.774208
-105.758597,3,2.775309
0.844866,32,2.784732
-8.035653,33,2.79567
-19.250274,40,2.805881
-34.836639,50,2.823441
-7.942846,36,2.846261
-33.54206,55,2.876312
-18.564381,43,2.923539
-44.385759,61,2.958251
-29.610683,54,2.975961
-37.215392,55,2.996039
-22.900263,56,3.011598
-103.414999,2,3.011598
-43.334457,55,3.028104
-14.226001,41,3.041604
-10.021184,36,3.053987
-21.011124,50,3.065471
-22.461859,46,3.085344
-3.356848,31,3.091681
-7.01306,32,3.101419
-8.555497,32,3.111924
-44.099261,63,3.661827
-10.4102,34,3.67116
-31.757012,49,3.684693
-21.154853,44,3.7007
-8.285776,35,3.710593
-30.436896,53,3.726462
-52.36389,59,3.744478
-1.492636,29,3.754071
-115.860243,6,3.754071
-11.373356,36,3.76776
-29.559206,45,3.78168
-28.253964,45,3.794538
-6.029517,36,3.806428
-24.910751,40,3.819168
-112.988707,5,3.819168
-106.842147,3,3.822057
-4.097348,29,3.830092
-106.503444,3,3.831769
-106.361157,3,3.831769
-112.7773,5,3.834405
-109.032264,4,3.834405
-14.922478,40,3.850283
-10.298515,37,3.861433
-24.368797,46,3.875372
-14.35836,41,3.885412
-106.219815,3,3.885412
0.527894,28,3.897555
-25.234894,46,3.9085
-12.108597,36,3.921564
-109.286705,4,3.922675
-3.083187,32,3.934341
2.373223,29,3.941204
0.580562,30,3.95423
-39.562905,49,3.968857
-43.03804,58,4.582817
-0.678499,28,4.589943
-109.007559,4,4.591593
-112.475093,5,4.594188
-29.424189,52,4.610556
-106.813684,3,4.611695
-11.671268,35,4.623655
-20.956922,42,4.634492
-8.352092,36,4.650613
-25.123655,44,4.664204
-112.278203,5,4.665821
-8.552548,33,4.676135
-106.788654,3,4.676135
-1.501222,30,4.686097
-9.697029,32,4.701629
-20.3391,39,4.715242
3.204792,28,4.723591
-6.93137,35,4.734504
-20.947449,41,4.748773
-113.579198,5,4.75031
-26.044573,43,4.761619
-26.503122,43,4.775735
0.921425,27,4.786931
-17.351709,40,4.800323
-17.93417,42,4.816932
-7.576226,35,4.829055
-109.468502,4,4.831336
-106.512628,3,4.831636
-4.51746,31,4.844997
-103.197368,2,4.844997
-12.70766,37,4.875699
-36.840474,51,4.898126
-109.182526,4,4.900306
-26.909589,46,4.91894
-4.109279,29,4.925845
-7.437615,32,4.939796
-44.980394,55,5.547751
-9.85779,35,5.56009
-1.173387,30,5.571122
-4.484649,30,5.581619
-25.818777,43,5.591377
1.550484,27,5.601348
-7.76437,35,5.615136
-15.131656,37,5.626217
-10.015449,31,5.634546
-12.921753,36,5.645747
-14.059462,43,5.660071
-13.32358,35,5.671265
-14.538949,35,5.684565
-21.66686,37,5.696951
-10.496821,33,5.710223
-115.694132,6,5.713866
-21.15698,45,5.725868
-5.492978,29,5.73472
-106.593734,3,5.73472
-12.276421,36,5.75553
-13.151709,33,5.765396
-13.363341,33,5.776084
-4.064341,29,5.784837
-118.323606,7,5.790024
-5.709107,31,5.79945
-24.190893,41,5.808956
-103.585611,2,5.810598
-13.846681,39,5.821324
-9.853776,39,5.832158
-111.833074,5,5.832158
-108.967368,4,5.834781
-16.387931,36,5.844768
-9.043149,32,5.851254
-14.545516,39,5.867168
-18.220208,39,6.746702
-7.899554,31,6.763653
-9.178983,35,6.780878
-109.807597,4,6.781909
-1.503008,27,6.794109
-4.201811,31,6.808648
-14.52535,33,6.81995
-11.6469,32,6.833534
-12.513418,35,6.844166
-3.48112,26,6.851416
-7.426572,30,6.860237
-24.994943,45,6.874909
4.109875,28,6.884327
-109.724624,4,6.885882
-16.104754,45,6.90133
-109.661215,4,6.903894
-12.837251,37,6.923696
1.581507,29,6.934974
-17.565235,39,6.948127
-16.194388,40,6.958766
-111.75397,5,6.960502
-109.87829,4,6.961612
-109.376445,4,6.964
-6.157449,30,6.97338
-6.567936,31,6.984693
-28.789915,51,7.001505
-4.296676,30,7.008466
-3.654558,31,7.02187
-109.40121,4,7.022862
-112.24902,5,7.02501
-3.637849,30,7.034715
-11.587276,40,7.04932
-106.813057,3,7.050548
-8.171036,33,7.058275
-106.781683,3,7.060327
-20.180797,42,7.074812
-23.700597,41,7.084767
-8.131542,31,7.098666
1.510129,29,7.105699
-1.784958,28,7.696541
-28.673657,47,7.712239
-7.363367,31,7.723974
-15.664837,34,7.734638
-10.031315,35,7.744339
-5.897427,32,7.753805
-18.635928,41,7.773325
-6.221103,31,7.784684
-109.742873,4,7.784684
-17.538634,39,7.800311
-7.047069,32,7.808936
-6.300543,29,7.819122
-113.898443,5,7.821266
-4.998713,31,7.831939
-27.805062,41,7.846712
-6.841616,36,7.858296
-12.190263,33,7.869341
-106.556973,3,7.871502
-9.001254,33,7.88206
-9.33615,34,7.891688
-14.059194,37,7.90134
-22.394635,43,7.915354
-24.879984,41,7.926094
-15.932598,35,7.935527
-113.615923,5,7.940074
-31.470875,48,7.955497
-1.152211,29,7.968817
-106.144872,3,7.970859
-110.043605,4,7.971416
-109.669866,4,7.973464
-22.610523,44,7.988212
-3.412773,29,7.995886
-23.061071,48,8.010587
-9.485908,34,8.025867
-8.642535,31,8.618711
1.172899,27,8.628911
-7.91076,34,8.639877
-3.039826,28,8.65141
-109.569805,4,8.65141
-106.273433,3,8.654713
-103.331493,2,8.654713
-19.303888,43,8.665778
-8.191099,30,8.675864
-19.717488,42,8.695246
-3.196792,30,8.701319
-0.935568,26,8.711825
-0.500388,26,8.719332
-18.219866,41,8.732174
-11.176277,36,8.744225
-19.541507,37,8.758204
-14.252935,32,8.767557
-6.24557,33,8.780891
-9.386062,34,8.789983
-5.198085,31,8.80094
-2.041905,28,8.808586
-2.070798,29,8.81527
-103.51471,2,8.81527
-105.994924,3,8.81527
-8.891044,33,8.826
-0.384484,29,8.834705
-103.080452,2,8.834705
-4.875649,30,8.844579
-17.320869,41,8.854709
